Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,0.021551575511693954,0.146804541349411,0.09259331226348877,0.5184442400932312
MSE,2,24,0.021444963291287422,0.14644098281860352,0.09267548471689224,0.5171602964401245
MSE,1,96,0.03617893159389496,0.1902076005935669,0.12997585535049438,0.6735635995864868
MSE,2,96,0.03512926399707794,0.18742802739143372,0.12964226305484772,0.6637204885482788
MSE,1,168,0.03817372024059296,0.19538095593452454,0.1362910121679306,0.6921759247779846
MSE,2,168,0.03849615529179573,0.19620436429977417,0.13646560907363892,0.695093035697937
MAE,1,24,0.021470224484801292,0.1465272158384323,0.08893789350986481,0.517464816570282
MAE,2,24,0.021382654085755348,0.14622808992862701,0.0888276919722557,0.5164084434509277
MAE,1,96,0.036830171942710876,0.19191189110279083,0.12634244561195374,0.6795987486839294
MAE,2,96,0.036507509648799896,0.19106937944889069,0.1269419938325882,0.6766153573989868
MAE,1,168,0.039310064166784286,0.19826765358448029,0.13390295207500458,0.7024025917053223
MAE,2,168,0.03972628340125084,0.19931453466415405,0.1348835527896881,0.7061113715171814
